NAME	OFFICE	DOCID
Moran, Hon.. Nathaniel Quentin	TX01	10068118
Morelle, Hon.. Joseph D.	NY25	10068699
Moskowitz, Hon.. Jared	FL23	10072022
Moulton, Hon.. Seth	MA06	10067208
Moylan, Hon.. James C.	GU00	10067123
Mrvan, Hon.. Frank J.	IN01	10068679
Mullin, Hon.. Kevin	CA15	10068343
Murphy, Hon.. Greg Francis	NC03	10067151
Nadler, Hon.. Jerrold	NY12	8221138
Neal, Hon.. Richard E.	MA01	10067619
Neguse, Hon.. Joseph	CO02	10067275
Nehls, Hon.. Troy	TX22	10072372
Newhouse, Hon.. Dan	WA04	10067441
Norcross, Hon.. Donald W.	NJ01	10071989
Norman, Hon.. Ralph W.	SC05	10066819
Norton, Hon.. Eleanor Holmes	DC00	10066887
Nunn, Hon.. Zach	IA03	10065704
Obernolte, Hon.. Jay	CA23	10066012
Ocasio-Cortez, Hon.. Alexandria	NY14	10066093
Ogles, Hon.. Andy	TN05	10068701
Omar, Hon.. Ilhan	MN05	10068415
Owens, Hon.. Burgess	UT04	10066484
Pallone, Hon.. Frank	NJ06	10066248
Palmer, Hon.. Gary	AL06	10066690
Panetta, Hon.. Jimmy	CA19	10066174
Pappas, Hon.. Chris	NH01	10068162
Paulina Luna, Hon.. Anna	FL13	10068787
Pelosi, Hon.. Nancy	CA11	10066169
Perry, Hon.. Scott	PA10	10068827
Peters, Hon.. Scott H.	CA50	10067117
Pettersen, Hon.. Brittany Louise	CO07	10066108
Pfluger, Hon.. August Lee	TX11	10066262
Pingree, Hon.. Chellie	ME01	10066930
Plaskett, Hon.. Stacey	VI00	10069175
Pocan, Hon.. Mark	WI02	10066960
Pressley, Hon.. Ayanna	MA07	10067354
Quigley, Hon.. Mike	IL05	8221140
Ramirez, Hon.. Delia	IL03	10066100
Raskin, Hon.. Jamie	MD08	10068086
Reschenthaler, Hon.. Guy Mr	PA14	10065963
Rogers, Hon.. Harold Dallas	KY05	9115593
Rogers, Hon.. Mike	AL03	8221131
Rose, Hon.. John W.	TN06	10067959
Ross, Hon.. Deborah	NC02	10067035
Rouzer, Hon.. David	NC07	10068240
Roy, Hon.. Chip	TX21	10068654
Ruiz, Hon.. Raul	CA25	10070301
Rulli, Hon.. Michael	OH06	10068716
Rutherford, Hon.. John	FL05	10066540
Ryan, Hon.. Patrick	NY18	10067905
Salazar, Hon.. Maria Elvira	FL27	10066968
Salinas, Hon.. Andrea	OR06	10068312
Sanchez, Hon.. Linda T.	CA38	10069010
Scalise, Hon.. Steve	LA01	10067107
Scanlon, Hon.. Mary Gay	PA05	10067401
Schakowsky, Hon.. Janice D.	IL09	10067235
Schneider, Hon.. Bradley S.	IL10	10065705
Scholten, Hon.. Hillary	MI03	10066092
Schrier, Hon.. Kim Dr	WA08	10066345
Schweikert, Hon.. David	AZ01	10068131
Scott, Hon.. Austin	GA08	10068497
Scott, Hon.. David	GA13	10066567
"Scott, Hon.. Robert C. ""Bobby"""	VA03	10068065
Self, Hon.. Keith Alan	TX03	8221149
Sessions, Hon.. Pete	TX17	10068144
Sewell, Hon.. Terri A.	AL07	10068080
Sherman, Hon.. Brad	CA32	8221129
Sherrill, Hon.. Mikie	NJ11	10067322
Simpson, Hon.. Michael K.	ID02	10068482
Smith, Hon.. Adam	WA09	10066320
Smith, Hon.. Adrian	NE03	10067347
Smith, Hon.. Christopher H.	NJ04	10069050
Smith, Hon.. Jason T.	MO08	10068122
Smucker, Hon.. Lloyd K.	PA11	10067727
Sorensen, Hon.. Eric	IL17	10068253
Soto, Hon.. Darren	FL09	10067814
Spartz, Hon.. Victoria	IN05	10069033
Stansbury, Hon.. Melanie	NM01	10068255
Stanton, Hon.. Greg	AZ04	10070403
Stauber, Hon.. Peter Allen	MN08	10068406
Stefanik, Hon.. Elise M.	NY21	9115582
Steil, Hon.. Bryan George	WI01	10066871
Steube, Hon.. Greg	FL17	10065961
Stevens, Hon.. Haley	MI11	10067296
Strickland, Hon.. Marilyn	WA10	10068257
Strong, Hon.. Dale Whitney	AL05	10065891
Suozzi, Hon.. Thomas	NY03	10067516
Swalwell, Hon.. Eric	CA14	10066827
Sykes, Hon.. Emilia	OH13	10067735
Takano, Hon.. Mark	CA39	10066773
Tenney, Hon.. Claudia	NY24	10068134
Thanedar, Hon.. Shri	MI13	10065892
